RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN,Year
21,Chigoziem Okonkwo (TEN) ,32,46,450,14.1,48,14,3,3,2,0,0,16,65.2,4.1,55.1%,2022
22,Hunter Henry (NE) ,41,59,509,12.4,39,15,2,0,0,0,0,16,62.9,3.9,5.9%,2022
23,Robert Tonyan (CHI) ,53,67,470,8.9,24,5,2,0,0,0,0,17,59.0,3.5,1.8%,2022
24,Darren Waller (NYG) ,28,43,388,13.9,34,11,3,0,0,0,0,9,56.8,6.3,97.8%,2022
25,Austin Hooper (LV) ,41,60,444,10.8,24,2,2,0,0,0,0,17,56.4,3.3,2.3%,2022
26,Hayden Hurst (CAR) ,54,70,439,8.1,29,5,2,0,0,0,0,14,55.9,4.0,10.7%,2022
27,Isaiah Likely (BAL) ,36,60,373,10.4,34,5,3,0,0,0,0,14,55.3,4.0,6.7%,2022
28,Greg Dulcich (DEN) ,33,55,411,12.5,39,9,2,0,0,0,0,10,53.1,5.3,54.0%,2022
29,Will Dissly (SEA) ,34,38,349,10.3,38,2,3,0,0,0,0,15,52.9,3.5,1.3%,2022
30,Foster Moreau (NO) ,33,54,420,12.7,33,10,2,0,2,0,1,14,52.2,3.7,0.7%,2022
31,Cade Otton (TB) ,42,65,391,9.3,35,5,2,0,0,0,0,16,51.1,3.2,2.7%,2022
32,Jelani Woods (IND) ,25,40,312,12.5,36,6,3,0,0,0,0,12,49.2,4.1,4.5%,2022
33,Kyle Pitts (ATL) ,28,59,356,12.7,33,6,2,0,0,0,0,10,47.6,4.8,96.1%,2022
34,Brock Wright (DET) ,18,24,216,12.0,51,6,4,0,0,0,0,14,45.6,3.3,0.7%,2022
35,Daniel Bellinger (NYG) ,30,35,268,8.9,24,2,2,1,2,1,1,11,45.0,4.1,1.8%,2022
36,Colby Parkinson (SEA) ,25,34,322,12.9,39,8,2,0,0,0,0,14,44.2,3.2,0.1%,2022
37,Noah Gray (KC) ,28,34,299,10.7,27,3,1,1,1,1,0,17,42.0,2.5,0.8%,2022
38,MyCole Pruitt (FA) ,16,21,150,9.4,29,2,4,0,0,0,0,10,39.0,3.9,0.0%,2022
39,Logan Thomas (WAS) ,39,61,323,8.3,27,2,1,0,0,0,0,13,38.3,2.9,3.0%,2022
40,C.J. Uzomah (NYJ) ,21,27,232,11.0,40,8,2,0,0,0,0,14,35.2,2.5,0.7%,2022
41,Mo Alie-Cox (IND) ,19,28,189,9.9,34,2,3,0,0,0,1,14,34.9,2.5,0.7%,2022
42,Tommy Tremble (CAR) ,19,32,174,9.2,29,1,3,0,0,0,1,15,33.4,2.2,0.2%,2022
43,Trey McBride (ARI) ,29,39,265,9.1,29,3,1,0,0,0,0,12,32.5,2.7,12.3%,2022
44,Harrison Bryant (CLE) ,31,42,239,7.7,30,2,1,1,8,0,0,14,30.7,2.2,0.7%,2022
45,Irv Smith Jr. (CIN) ,25,36,182,7.3,17,0,2,0,0,0,0,8,30.2,3.8,22.2%,2022
46,Kylen Granson (IND) ,31,40,302,9.7,32,4,0,1,0,0,0,13,30.2,2.3,0.6%,2022
47,Shane Zylstra (DET) ,11,15,60,5.5,14,0,4,0,0,0,0,9,30.0,3.3,0.1%,2022
48,Jake Ferguson (DAL) ,19,22,174,9.2,30,4,2,0,0,0,0,11,29.4,2.7,3.3%,2022
49,Peyton Hendershot (DAL) ,11,16,103,9.4,29,2,2,1,2,1,0,12,28.5,2.4,0.2%,2022
50,Josh Oliver (MIN) ,14,25,149,10.6,40,3,2,0,0,0,0,12,26.9,2.2,0.2%,2022
51,Adam Trautman (DEN) ,18,22,207,11.5,22,2,1,0,0,0,0,13,26.7,2.1,0.6%,2022
52,O.J. Howard (LV) ,10,23,145,14.5,26,4,2,0,0,0,0,11,26.5,2.4,0.6%,2022
53,Jonnu Smith (ATL) ,27,38,245,9.1,53,6,0,1,5,0,0,12,25.0,2.1,0.8%,2022
54,Durham Smythe (MIA) ,15,20,129,8.6,26,1,1,2,1,1,0,13,25.0,1.9,0.3%,2022
55,Connor Heyward (PIT) ,12,17,151,12.6,45,4,1,2,27,0,0,15,23.8,1.6,0.2%,2022
56,Teagan Quitoriano (HOU) ,7,14,113,16.1,52,5,2,0,0,0,0,7,23.3,3.3,0.2%,2022
57,Jody Fortson (KC) ,9,13,108,12.0,40,4,2,0,0,0,1,10,20.8,2.1,0.2%,2022
58,Eric Saubert (MIA) ,15,24,148,9.9,25,3,1,0,0,0,0,14,20.8,1.5,0.2%,2022
59,Marcedes Lewis (FA) ,6,7,66,11.0,31,2,2,0,0,0,0,6,20.6,3.4,0.0%,2022
60,Johnny Mundt (MIN) ,19,21,140,7.4,17,0,1,0,0,0,0,13,20.0,1.5,0.1%,2022
61,Eric Tomlinson (FA) ,9,13,79,8.8,18,0,2,0,0,0,0,9,19.9,2.2,0.0%,2022
62,Mitchell Wilcox (FA) ,17,18,139,8.2,19,0,1,0,0,0,0,9,19.9,2.2,0.0%,2022
63,Ian Thomas (CAR) ,21,30,197,9.4,50,4,0,0,0,0,0,14,19.7,1.4,0.1%,2022
64,Donald Parham Jr. (LAC) ,10,12,130,13.0,24,2,1,0,0,0,0,6,19.0,3.2,0.3%,2022
65,Cameron Brate (FA) ,20,38,174,8.7,21,1,0,0,0,0,0,9,17.4,1.9,1.1%,2022
66,James Mitchell (DET) ,11,11,113,10.3,22,2,1,0,0,0,0,8,17.3,2.2,0.1%,2022
67,John Bates (WAS) ,14,22,108,7.7,20,1,1,0,0,0,0,10,16.8,1.7,0.1%,2022
68,Ross Dwelley (SF) ,3,5,105,35.0,56,6,1,0,0,0,0,5,16.5,3.3,0.1%,2022
69,Albert Okwuegbunam (DEN) ,10,18,95,9.5,25,1,1,0,0,0,0,6,15.5,2.6,0.7%,2022
70,Ko Kieft (TB) ,7,10,80,11.4,19,0,1,0,0,0,0,14,14.0,1.0,0.1%,2022
71,Dan Arnold (PHI) ,9,13,135,15.0,26,3,0,0,0,0,0,11,13.5,1.2,0.1%,2022
72,Zach Gentry (PIT) ,19,23,132,6.9,32,3,0,0,0,0,0,14,13.2,0.9,0.1%,2022
73,Tanner Hudson (CIN) ,10,15,132,13.2,27,1,0,0,0,0,0,6,13.2,2.2,0.1%,2022
74,Brevin Jordan (HOU) ,14,28,128,9.1,20,2,0,0,0,0,0,9,12.8,1.4,0.6%,2022
75,Chris Myarick (NYG) ,7,8,65,9.3,23,1,1,0,0,0,0,10,12.5,1.3,0.0%,2022
76,Quintin Morris (BUF) ,8,11,84,10.5,26,1,1,0,0,0,1,9,12.4,1.4,0.1%,2022
77,Jack Stoll (PHI) ,11,14,123,11.2,26,2,0,0,0,0,0,10,12.3,1.2,0.1%,2022
78,Geoff Swaim (FA) ,12,16,58,4.8,13,0,1,0,0,0,0,12,11.8,1.0,0.0%,2022
79,Pharaoh Brown (IND) ,12,20,117,9.8,30,2,0,0,0,0,0,9,11.7,1.3,0.0%,2022
80,Josiah Deguara (GB) ,13,15,114,8.8,25,1,0,0,0,0,0,9,11.4,1.3,0.2%,2022
81,Brycen Hopkins (LAR) ,7,11,109,15.6,22,2,0,0,0,0,0,7,10.9,1.6,0.1%,2022
82,Giovanni Ricci (CAR) ,8,9,100,12.5,32,2,0,0,0,0,0,11,10.0,0.9,0.0%,2022
83,Anthony Firkser (NE) ,9,13,100,11.1,22,1,0,0,0,0,0,8,10.0,1.3,0.0%,2022
84,Armani Rogers (WAS) ,5,6,64,12.8,23,1,0,2,26,0,0,9,9.0,1.0,0.1%,2022
85,Parker Hesse (ATL) ,9,11,89,9.9,22,1,0,0,0,0,0,12,8.9,0.7,0.1%,2022
86,Kyle Rudolph (FA) ,3,5,28,9.3,12,0,1,0,0,0,0,5,8.8,1.8,0.0%,2022
87,Grant Calcaterra (PHI) ,5,9,81,16.2,40,3,0,0,0,0,0,6,8.1,1.4,0.1%,2022
88,Blake Bell (KC) ,2,2,20,10.0,17,0,1,0,0,0,0,2,8.0,4.0,0.1%,2022
89,Tre' McKitty (LAC) ,10,18,72,7.2,12,0,0,0,0,0,0,13,7.2,0.6,0.1%,2022
90,Andrew Beck (HOU) ,5,11,69,13.8,27,2,0,2,0,0,0,9,6.9,0.8,0.0%,2022
91,Tyler Mabry (SEA) ,1,1,7,7.0,7,0,1,0,0,0,0,1,6.7,6.7,0.0%,2022
92,Tyler Kroft (MIA) ,4,5,57,14.3,28,1,0,0,0,0,0,6,5.7,1.0,0.0%,2022
93,Nick Vannett (FA) ,6,9,55,9.2,15,0,0,0,0,0,0,7,5.5,0.8,0.0%,2022
94,Charlie Kolar (BAL) ,4,6,49,12.3,15,0,0,0,0,0,0,1,4.9,4.9,0.1%,2022
95,Trevon Wesco (TEN) ,2,4,26,13.0,23,1,0,0,0,0,0,6,4.6,0.8,0.1%,2022
96,Stephen Sullivan (CAR) ,2,6,46,23.0,33,2,0,0,0,0,0,8,4.6,0.6,0.0%,2022
97,Chris Manhertz (DEN) ,6,8,42,7.0,21,1,0,0,0,0,0,8,4.2,0.5,0.1%,2022
98,Luke Farrell (JAC) ,4,4,40,10.0,15,0,0,0,0,0,0,4,4.0,1.0,0.1%,2022
99,Kendall Blanton (KC) ,2,2,35,17.5,28,1,0,0,0,0,0,2,3.5,1.8,0.0%,2022
100,Ryan Griffin (FA) ,4,8,26,6.5,18,0,0,0,0,0,0,10,2.6,0.3,0.0%,2022
101,Tyler Davis (GB) ,4,7,26,6.5,23,1,0,0,0,0,0,11,2.6,0.2,0.1%,2022
102,Ben Ellefson (FA) ,3,3,26,8.7,12,0,0,0,0,0,0,2,2.6,1.3,0.0%,2022
103,Cole Turner (WAS) ,2,9,23,11.5,18,0,0,0,0,0,0,7,2.3,0.3,0.1%,2022
104,Jesper Horsted (LV) ,3,4,19,6.3,9,0,0,0,0,0,0,5,1.9,0.4,0.0%,2022
105,Maxx Williams (FA) ,3,3,18,6.0,7,0,0,0,0,0,0,3,1.8,0.6,0.0%,2022
106,Stone Smartt (LAC) ,4,5,17,4.3,8,0,0,0,0,0,0,3,1.7,0.6,0.0%,2022
107,Sean McKeon (DAL) ,2,3,11,5.5,10,0,0,0,0,0,0,3,1.1,0.4,0.0%,2022
108,Stephen Anderson (FA) ,3,7,9,3.0,6,0,0,0,0,0,0,9,0.9,0.1,0.0%,2022
109,Jeremy Ruckert (NYJ) ,1,2,8,8.0,8,0,0,0,0,0,0,2,0.8,0.4,0.2%,2022
110,Tommy Sweeney (NYG) ,1,1,7,7.0,7,0,0,0,0,0,0,2,0.7,0.4,0.0%,2022
111,Mason Schreck (HOU) ,2,2,6,3.0,6,0,0,0,0,0,0,2,0.6,0.3,0.0%,2022
112,Jacob Harris (JAC) ,1,1,6,6.0,6,0,0,0,0,0,0,3,0.6,0.2,0.0%,2022
113,Devin Asiasi (CIN) ,2,4,5,2.5,6,0,0,0,0,0,0,5,0.5,0.1,0.1%,2022
114,Richard Rodgers (FA) ,1,4,4,4.0,4,0,0,0,0,0,0,3,0.4,0.1,0.0%,2022
115,Tyree Jackson (PHI) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%,2022
116,Alize Mack (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
117,Stephen Carlson (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
118,Mitchell Fraboni (DEN) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
119,Brandon Dillon (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
120,Kaden Smith (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
121,Hakeem Butler (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
122,J.J. Arcega-Whiteside (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
123,Feleipe Franks (ATL) ,0,2,0,0,0,0,0,1,0,0,0,5,0.0,0.0,0.0%,2022
124,Tommy Hudson (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
125,Noah Togiai (ARI) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
126,Lawrence Cager (NYG) ,13,19,118,9.1,20,1,1,0,0,0,0,6,0.0,0.0,0.1%,2022
127,Reggie Gilliam (BUF) ,9,11,76,8.4,14,0,1,0,0,0,0,8,0.0,0.0,0.1%,2022
128,Rashod Berry (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2022
129,Scotty Washington (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
130,Nick Bowers (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
131,Jake Bargas (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
132,Charlie Woerner (SF) ,0,2,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2022
133,Matt Sokol (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2022
134,Matthew Orzech (GB) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2022
135,Jared Pinkney (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2022
136,Chase Allen (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2022
137,Dalton Keene (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
138,Curtis Hodges (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
139,Andrew Ogletree (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
140,Seth Green (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
141,Chris Pierce Jr. (ARI) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
142,Leroy Watson (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
143,Jake Tonges (CHI) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
144,Rodney Williams (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
145,Davis Allen (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
146,Austin Allen (GB) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2022
147,Will Mallory (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2022
148,Derrick Deese Jr. (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
149,Noah Gindorff (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
150,Nikola Kalinic (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
151,John FitzPatrick (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
152,Tanner Conner (MIA) ,0,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2022
153,Gerrit Prince (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
154,Nick Muse (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
155,Lucas Krull (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
156,Cameron Latu (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,2022
157,Dre Miller (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
158,Brayden Willis (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
159,Joel Wilson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
160,Michael Ezeike (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
161,Christian Sims (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
162,Joel Honigford (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
163,Blake Whiteheart (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
164,Henry Pearson (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
165,Camren McDonald (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
166,Griffin Hebert (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
167,Christian Trahan (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
168,Patrick Murtagh (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
169,Brady Russell (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
170,E.J. Jenkins (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
171,Thomas Greaney (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
172,Travis Vokolek (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
173,Julian Hill (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
174,Johnny Lumpkin (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
175,Ryan Miller (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
176,Tanner Taula (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
177,Nate Adkins (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
178,John Samuel Shenker (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
179,Jordan Murray (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
180,Princeton Fant (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
181,Izaiah Gathings (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
182,Justin Rigg (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
183,Zaire Mitchell-Paden (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
184,Cole Fotheringham (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
185,Tucker Fisk (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
186,Leonard Taylor (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
187,Thomas Odukoya (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
188,Dalton Kincaid (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3%,2022
189,Luke Schoonmaker (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2022
190,Luke Musgrave (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5%,2022
191,Tucker Kraft (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%,2022
192,Brenton Strange (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%,2022
193,Payne Durham (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2022
194,Zack Kuntz (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,2022
195,Ben Sims (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
196,Ryan Jones (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
197,Kevin Rader (TEN) ,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.1%,2022
198,Dominique Dafney (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
199,Elijah Higgins (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2022
200,Sammis Reyes (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
201,Ben Mason (BAL) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
202,Hunter Kampmoyer (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
203,Zach Davidson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
204,Bernhard Seikovits (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
205,Nick Guggemos (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
206,Hunter Thedford (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
207,Hunter Long (LAR) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.1%,2022
208,Kenny Yeboah (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
209,Miller Forristall (NO) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
210,Matt Bushman (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
211,Josh Whyle (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2022
212,Darnell Washington (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2022
213,Sam LaPorta (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5%,2022
214,Michael Mayer (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6%,2022
215,Jordan Thomas (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
216,Dominique Curry (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
217,James Dearth (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
218,Drake Dunsmore (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
219,Darnell Dinkins (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
220,Derek Fine (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
221,J.P. Foschi (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
222,Brad Cottam (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
223,Marquez Branson (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
224,Joey Haynos (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
225,Justin Snow (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
226,Keith Zinger (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
227,Zach Wood (NO) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
228,Andrew DePaola (MIN) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
229,J.P. Holtz (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
230,Patrick Scales (CHI) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2022
231,David Wells (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
232,Troy Fumagalli (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
233,James Winchester (KC) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
234,Beau Brinkley (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.2%,2022
235,Jesse James (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
236,Nick Boyle (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
237,Drew Sample (CIN) ,2,2,-2,-1.0,2,0,0,0,0,0,0,2,-0.2,-0.1,0.1%,2022
1,Travis Kelce (KC) ,110,152,"1,338",12.2,52,29,12,2,5,0,1,17,206.3,12.1,100.0%,2023
2,George Kittle (SF) ,60,86,765,12.8,54,20,11,0,0,0,1,15,140.5,9.4,98.9%,2023
3,Taysom Hill (NO) ,9,13,77,8.6,30,2,2,96,575,7,0,16,136.8,8.6,24.2%,2023
4,T.J. Hockenson (MIN) ,86,129,914,10.6,81,12,6,0,0,0,1,17,129.4,7.6,99.8%,2023
5,Mark Andrews (BAL) ,73,113,847,11.6,36,8,5,3,8,0,0,15,117.5,7.8,99.9%,2023
6,Evan Engram (JAC) ,73,98,766,10.5,36,11,4,2,13,0,0,17,103.9,6.1,94.5%,2023
7,Cole Kmet (CHI) ,50,69,544,10.9,50,9,7,2,9,0,0,17,97.3,5.7,86.7%,2023
8,Juwan Johnson (NO) ,42,65,508,12.1,41,10,7,0,0,0,0,16,92.8,5.8,39.1%,2023
9,Dawson Knox (BUF) ,48,65,517,10.8,45,10,6,0,0,0,0,15,87.7,5.8,53.7%,2023
