RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN,Year
10,Dallas Goedert (PHI) ,55,69,702,12.8,31,12,3,0,0,0,1,12,86.2,7.2,96.8%,2023
11,Dalton Schultz (HOU) ,57,89,577,10.1,30,6,5,0,0,0,1,15,85.7,5.7,88.7%,2023
12,Pat Freiermuth (PIT) ,63,98,732,11.6,57,13,2,0,0,0,0,15,85.2,5.7,92.9%,2023
13,David Njoku (CLE) ,58,80,628,10.8,38,10,4,2,-8,0,1,14,84.0,6.0,92.3%,2023
14,Gerald Everett (LAC) ,58,87,555,9.6,26,4,4,1,0,0,0,15,81.5,5.4,56.9%,2023
15,Tyler Higbee (LAR) ,72,108,620,8.6,26,4,3,0,0,0,0,16,80.0,5.0,72.6%,2023
16,Jordan Akins (CLE) ,37,54,495,13.4,46,13,5,0,0,0,1,15,79.5,5.3,0.6%,2023
17,Tyler Conklin (NYJ) ,58,87,552,9.5,30,7,3,2,3,0,0,17,73.5,4.3,10.3%,2023
18,Noah Fant (SEA) ,50,63,486,9.7,51,8,4,0,0,0,0,17,72.6,4.3,8.4%,2023
19,Zach Ertz (ARI) ,47,69,406,8.6,32,3,4,0,0,0,0,10,68.6,6.9,37.8%,2023
20,Mike Gesicki (NE) ,32,52,362,11.3,32,7,5,0,0,0,0,17,66.2,3.9,39.1%,2023
21,Chigoziem Okonkwo (TEN) ,32,46,450,14.1,48,14,3,3,2,0,0,16,65.2,4.1,55.1%,2023
22,Hunter Henry (NE) ,41,59,509,12.4,39,15,2,0,0,0,0,16,62.9,3.9,5.9%,2023
23,Robert Tonyan (CHI) ,53,67,470,8.9,24,5,2,0,0,0,0,17,59.0,3.5,1.8%,2023
24,Darren Waller (NYG) ,28,43,388,13.9,34,11,3,0,0,0,0,9,56.8,6.3,97.8%,2023
25,Austin Hooper (LV) ,41,60,444,10.8,24,2,2,0,0,0,0,17,56.4,3.3,2.3%,2023
26,Hayden Hurst (CAR) ,54,70,439,8.1,29,5,2,0,0,0,0,14,55.9,4.0,10.7%,2023
27,Isaiah Likely (BAL) ,36,60,373,10.4,34,5,3,0,0,0,0,14,55.3,4.0,6.7%,2023
28,Greg Dulcich (DEN) ,33,55,411,12.5,39,9,2,0,0,0,0,10,53.1,5.3,54.0%,2023
29,Will Dissly (SEA) ,34,38,349,10.3,38,2,3,0,0,0,0,15,52.9,3.5,1.3%,2023
30,Foster Moreau (NO) ,33,54,420,12.7,33,10,2,0,2,0,1,14,52.2,3.7,0.7%,2023
31,Cade Otton (TB) ,42,65,391,9.3,35,5,2,0,0,0,0,16,51.1,3.2,2.7%,2023
32,Jelani Woods (IND) ,25,40,312,12.5,36,6,3,0,0,0,0,12,49.2,4.1,4.5%,2023
33,Kyle Pitts (ATL) ,28,59,356,12.7,33,6,2,0,0,0,0,10,47.6,4.8,96.1%,2023
34,Brock Wright (DET) ,18,24,216,12.0,51,6,4,0,0,0,0,14,45.6,3.3,0.7%,2023
35,Daniel Bellinger (NYG) ,30,35,268,8.9,24,2,2,1,2,1,1,11,45.0,4.1,1.8%,2023
36,Colby Parkinson (SEA) ,25,34,322,12.9,39,8,2,0,0,0,0,14,44.2,3.2,0.1%,2023
37,Noah Gray (KC) ,28,34,299,10.7,27,3,1,1,1,1,0,17,42.0,2.5,0.8%,2023
38,MyCole Pruitt (FA) ,16,21,150,9.4,29,2,4,0,0,0,0,10,39.0,3.9,0.0%,2023
39,Logan Thomas (WAS) ,39,61,323,8.3,27,2,1,0,0,0,0,13,38.3,2.9,3.0%,2023
40,C.J. Uzomah (NYJ) ,21,27,232,11.0,40,8,2,0,0,0,0,14,35.2,2.5,0.7%,2023
41,Mo Alie-Cox (IND) ,19,28,189,9.9,34,2,3,0,0,0,1,14,34.9,2.5,0.7%,2023
42,Tommy Tremble (CAR) ,19,32,174,9.2,29,1,3,0,0,0,1,15,33.4,2.2,0.2%,2023
43,Trey McBride (ARI) ,29,39,265,9.1,29,3,1,0,0,0,0,12,32.5,2.7,12.3%,2023
44,Harrison Bryant (CLE) ,31,42,239,7.7,30,2,1,1,8,0,0,14,30.7,2.2,0.7%,2023
45,Irv Smith Jr. (CIN) ,25,36,182,7.3,17,0,2,0,0,0,0,8,30.2,3.8,22.2%,2023
46,Kylen Granson (IND) ,31,40,302,9.7,32,4,0,1,0,0,0,13,30.2,2.3,0.6%,2023
47,Shane Zylstra (DET) ,11,15,60,5.5,14,0,4,0,0,0,0,9,30.0,3.3,0.1%,2023
48,Jake Ferguson (DAL) ,19,22,174,9.2,30,4,2,0,0,0,0,11,29.4,2.7,3.3%,2023
49,Peyton Hendershot (DAL) ,11,16,103,9.4,29,2,2,1,2,1,0,12,28.5,2.4,0.2%,2023
50,Josh Oliver (MIN) ,14,25,149,10.6,40,3,2,0,0,0,0,12,26.9,2.2,0.2%,2023
51,Adam Trautman (DEN) ,18,22,207,11.5,22,2,1,0,0,0,0,13,26.7,2.1,0.6%,2023
52,O.J. Howard (LV) ,10,23,145,14.5,26,4,2,0,0,0,0,11,26.5,2.4,0.6%,2023
53,Jonnu Smith (ATL) ,27,38,245,9.1,53,6,0,1,5,0,0,12,25.0,2.1,0.8%,2023
54,Durham Smythe (MIA) ,15,20,129,8.6,26,1,1,2,1,1,0,13,25.0,1.9,0.3%,2023
55,Connor Heyward (PIT) ,12,17,151,12.6,45,4,1,2,27,0,0,15,23.8,1.6,0.2%,2023
56,Teagan Quitoriano (HOU) ,7,14,113,16.1,52,5,2,0,0,0,0,7,23.3,3.3,0.2%,2023
57,Jody Fortson (KC) ,9,13,108,12.0,40,4,2,0,0,0,1,10,20.8,2.1,0.2%,2023
58,Eric Saubert (MIA) ,15,24,148,9.9,25,3,1,0,0,0,0,14,20.8,1.5,0.2%,2023
59,Marcedes Lewis (FA) ,6,7,66,11.0,31,2,2,0,0,0,0,6,20.6,3.4,0.0%,2023
60,Johnny Mundt (MIN) ,19,21,140,7.4,17,0,1,0,0,0,0,13,20.0,1.5,0.1%,2023
61,Eric Tomlinson (FA) ,9,13,79,8.8,18,0,2,0,0,0,0,9,19.9,2.2,0.0%,2023
62,Mitchell Wilcox (FA) ,17,18,139,8.2,19,0,1,0,0,0,0,9,19.9,2.2,0.0%,2023
63,Ian Thomas (CAR) ,21,30,197,9.4,50,4,0,0,0,0,0,14,19.7,1.4,0.1%,2023
64,Donald Parham Jr. (LAC) ,10,12,130,13.0,24,2,1,0,0,0,0,6,19.0,3.2,0.3%,2023
65,Cameron Brate (FA) ,20,38,174,8.7,21,1,0,0,0,0,0,9,17.4,1.9,1.1%,2023
66,James Mitchell (DET) ,11,11,113,10.3,22,2,1,0,0,0,0,8,17.3,2.2,0.1%,2023
67,John Bates (WAS) ,14,22,108,7.7,20,1,1,0,0,0,0,10,16.8,1.7,0.1%,2023
68,Ross Dwelley (SF) ,3,5,105,35.0,56,6,1,0,0,0,0,5,16.5,3.3,0.1%,2023
69,Albert Okwuegbunam (DEN) ,10,18,95,9.5,25,1,1,0,0,0,0,6,15.5,2.6,0.7%,2023
70,Ko Kieft (TB) ,7,10,80,11.4,19,0,1,0,0,0,0,14,14.0,1.0,0.1%,2023
71,Dan Arnold (PHI) ,9,13,135,15.0,26,3,0,0,0,0,0,11,13.5,1.2,0.1%,2023
72,Zach Gentry (PIT) ,19,23,132,6.9,32,3,0,0,0,0,0,14,13.2,0.9,0.1%,2023
73,Tanner Hudson (CIN) ,10,15,132,13.2,27,1,0,0,0,0,0,6,13.2,2.2,0.1%,2023
74,Brevin Jordan (HOU) ,14,28,128,9.1,20,2,0,0,0,0,0,9,12.8,1.4,0.6%,2023
75,Chris Myarick (NYG) ,7,8,65,9.3,23,1,1,0,0,0,0,10,12.5,1.3,0.0%,2023
76,Quintin Morris (BUF) ,8,11,84,10.5,26,1,1,0,0,0,1,9,12.4,1.4,0.1%,2023
77,Jack Stoll (PHI) ,11,14,123,11.2,26,2,0,0,0,0,0,10,12.3,1.2,0.1%,2023
78,Geoff Swaim (FA) ,12,16,58,4.8,13,0,1,0,0,0,0,12,11.8,1.0,0.0%,2023
79,Pharaoh Brown (IND) ,12,20,117,9.8,30,2,0,0,0,0,0,9,11.7,1.3,0.0%,2023
80,Josiah Deguara (GB) ,13,15,114,8.8,25,1,0,0,0,0,0,9,11.4,1.3,0.2%,2023
81,Brycen Hopkins (LAR) ,7,11,109,15.6,22,2,0,0,0,0,0,7,10.9,1.6,0.1%,2023
82,Giovanni Ricci (CAR) ,8,9,100,12.5,32,2,0,0,0,0,0,11,10.0,0.9,0.0%,2023
83,Anthony Firkser (NE) ,9,13,100,11.1,22,1,0,0,0,0,0,8,10.0,1.3,0.0%,2023
84,Armani Rogers (WAS) ,5,6,64,12.8,23,1,0,2,26,0,0,9,9.0,1.0,0.1%,2023
85,Parker Hesse (ATL) ,9,11,89,9.9,22,1,0,0,0,0,0,12,8.9,0.7,0.1%,2023
86,Kyle Rudolph (FA) ,3,5,28,9.3,12,0,1,0,0,0,0,5,8.8,1.8,0.0%,2023
87,Grant Calcaterra (PHI) ,5,9,81,16.2,40,3,0,0,0,0,0,6,8.1,1.4,0.1%,2023
88,Blake Bell (KC) ,2,2,20,10.0,17,0,1,0,0,0,0,2,8.0,4.0,0.1%,2023
89,Tre' McKitty (LAC) ,10,18,72,7.2,12,0,0,0,0,0,0,13,7.2,0.6,0.1%,2023
90,Andrew Beck (HOU) ,5,11,69,13.8,27,2,0,2,0,0,0,9,6.9,0.8,0.0%,2023
91,Tyler Mabry (SEA) ,1,1,7,7.0,7,0,1,0,0,0,0,1,6.7,6.7,0.0%,2023
92,Tyler Kroft (MIA) ,4,5,57,14.3,28,1,0,0,0,0,0,6,5.7,1.0,0.0%,2023
93,Nick Vannett (FA) ,6,9,55,9.2,15,0,0,0,0,0,0,7,5.5,0.8,0.0%,2023
94,Charlie Kolar (BAL) ,4,6,49,12.3,15,0,0,0,0,0,0,1,4.9,4.9,0.1%,2023
95,Trevon Wesco (TEN) ,2,4,26,13.0,23,1,0,0,0,0,0,6,4.6,0.8,0.1%,2023
96,Stephen Sullivan (CAR) ,2,6,46,23.0,33,2,0,0,0,0,0,8,4.6,0.6,0.0%,2023
97,Chris Manhertz (DEN) ,6,8,42,7.0,21,1,0,0,0,0,0,8,4.2,0.5,0.1%,2023
98,Luke Farrell (JAC) ,4,4,40,10.0,15,0,0,0,0,0,0,4,4.0,1.0,0.1%,2023
99,Kendall Blanton (KC) ,2,2,35,17.5,28,1,0,0,0,0,0,2,3.5,1.8,0.0%,2023
100,Ryan Griffin (FA) ,4,8,26,6.5,18,0,0,0,0,0,0,10,2.6,0.3,0.0%,2023
101,Tyler Davis (GB) ,4,7,26,6.5,23,1,0,0,0,0,0,11,2.6,0.2,0.1%,2023
102,Ben Ellefson (FA) ,3,3,26,8.7,12,0,0,0,0,0,0,2,2.6,1.3,0.0%,2023
103,Cole Turner (WAS) ,2,9,23,11.5,18,0,0,0,0,0,0,7,2.3,0.3,0.1%,2023
104,Jesper Horsted (LV) ,3,4,19,6.3,9,0,0,0,0,0,0,5,1.9,0.4,0.0%,2023
105,Maxx Williams (FA) ,3,3,18,6.0,7,0,0,0,0,0,0,3,1.8,0.6,0.0%,2023
106,Stone Smartt (LAC) ,4,5,17,4.3,8,0,0,0,0,0,0,3,1.7,0.6,0.0%,2023
107,Sean McKeon (DAL) ,2,3,11,5.5,10,0,0,0,0,0,0,3,1.1,0.4,0.0%,2023
108,Stephen Anderson (FA) ,3,7,9,3.0,6,0,0,0,0,0,0,9,0.9,0.1,0.0%,2023
109,Jeremy Ruckert (NYJ) ,1,2,8,8.0,8,0,0,0,0,0,0,2,0.8,0.4,0.2%,2023
110,Tommy Sweeney (NYG) ,1,1,7,7.0,7,0,0,0,0,0,0,2,0.7,0.4,0.0%,2023
111,Mason Schreck (HOU) ,2,2,6,3.0,6,0,0,0,0,0,0,2,0.6,0.3,0.0%,2023
112,Jacob Harris (JAC) ,1,1,6,6.0,6,0,0,0,0,0,0,3,0.6,0.2,0.0%,2023
113,Devin Asiasi (CIN) ,2,4,5,2.5,6,0,0,0,0,0,0,5,0.5,0.1,0.1%,2023
114,Richard Rodgers (FA) ,1,4,4,4.0,4,0,0,0,0,0,0,3,0.4,0.1,0.0%,2023
115,Tyree Jackson (PHI) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%,2023
116,Alize Mack (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
117,Stephen Carlson (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
118,Mitchell Fraboni (DEN) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
119,Brandon Dillon (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
120,Kaden Smith (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
121,Hakeem Butler (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
122,J.J. Arcega-Whiteside (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
123,Feleipe Franks (ATL) ,0,2,0,0,0,0,0,1,0,0,0,5,0.0,0.0,0.0%,2023
124,Tommy Hudson (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
125,Noah Togiai (ARI) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
126,Lawrence Cager (NYG) ,13,19,118,9.1,20,1,1,0,0,0,0,6,0.0,0.0,0.1%,2023
127,Reggie Gilliam (BUF) ,9,11,76,8.4,14,0,1,0,0,0,0,8,0.0,0.0,0.1%,2023
128,Rashod Berry (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2023
129,Scotty Washington (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
130,Nick Bowers (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
131,Jake Bargas (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
132,Charlie Woerner (SF) ,0,2,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2023
133,Matt Sokol (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
134,Matthew Orzech (GB) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
135,Jared Pinkney (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
136,Chase Allen (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
137,Dalton Keene (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
138,Curtis Hodges (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
139,Andrew Ogletree (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
140,Seth Green (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
141,Chris Pierce Jr. (ARI) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
142,Leroy Watson (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
143,Jake Tonges (CHI) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
144,Rodney Williams (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
145,Davis Allen (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
146,Austin Allen (GB) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
147,Will Mallory (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
148,Derrick Deese Jr. (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
149,Noah Gindorff (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
150,Nikola Kalinic (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
151,John FitzPatrick (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
152,Tanner Conner (MIA) ,0,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
153,Gerrit Prince (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
154,Nick Muse (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
155,Lucas Krull (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
156,Cameron Latu (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,2023
157,Dre Miller (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
158,Brayden Willis (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
159,Joel Wilson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
160,Michael Ezeike (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
161,Christian Sims (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
162,Joel Honigford (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
163,Blake Whiteheart (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
164,Henry Pearson (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
165,Camren McDonald (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
166,Griffin Hebert (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
167,Christian Trahan (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
168,Patrick Murtagh (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
169,Brady Russell (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
170,E.J. Jenkins (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
171,Thomas Greaney (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
172,Travis Vokolek (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
173,Julian Hill (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
174,Johnny Lumpkin (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
175,Ryan Miller (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
176,Tanner Taula (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
177,Nate Adkins (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
178,John Samuel Shenker (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
179,Jordan Murray (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
180,Princeton Fant (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
181,Izaiah Gathings (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
182,Justin Rigg (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
183,Zaire Mitchell-Paden (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
184,Cole Fotheringham (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
185,Tucker Fisk (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
186,Leonard Taylor (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
187,Thomas Odukoya (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
188,Dalton Kincaid (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3%,2023
189,Luke Schoonmaker (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2023
190,Luke Musgrave (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5%,2023
191,Tucker Kraft (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%,2023
192,Brenton Strange (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%,2023
193,Payne Durham (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
194,Zack Kuntz (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,2023
195,Ben Sims (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
196,Ryan Jones (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
197,Kevin Rader (TEN) ,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.1%,2023
198,Dominique Dafney (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
199,Elijah Higgins (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
200,Sammis Reyes (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
201,Ben Mason (BAL) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
202,Hunter Kampmoyer (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
203,Zach Davidson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
204,Bernhard Seikovits (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
205,Nick Guggemos (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
206,Hunter Thedford (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
207,Hunter Long (LAR) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.1%,2023
208,Kenny Yeboah (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
209,Miller Forristall (NO) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
210,Matt Bushman (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
211,Josh Whyle (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2023
212,Darnell Washington (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2023
213,Sam LaPorta (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5%,2023
214,Michael Mayer (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6%,2023
215,Jordan Thomas (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
216,Dominique Curry (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
217,James Dearth (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
218,Drake Dunsmore (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
219,Darnell Dinkins (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
220,Derek Fine (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
221,J.P. Foschi (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
222,Brad Cottam (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
223,Marquez Branson (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
224,Joey Haynos (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
225,Justin Snow (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
226,Keith Zinger (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
227,Zach Wood (NO) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
228,Andrew DePaola (MIN) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
229,J.P. Holtz (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
230,Patrick Scales (CHI) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2023
231,David Wells (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
232,Troy Fumagalli (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
233,James Winchester (KC) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
234,Beau Brinkley (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.2%,2023
235,Jesse James (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
236,Nick Boyle (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
237,Drew Sample (CIN) ,2,2,-2,-1.0,2,0,0,0,0,0,0,2,-0.2,-0.1,0.1%,2023
