,PLAYER,FPTS/G,FPTS/G 22,FPTS 22
1,Mark Andrews (BAL) ,11.4,11.3182257307609,192.41
2,Travis Kelce (KC) ,10.7,10.61840080666552,180.51
3,Rob Gronkowski (FA) ,9.7,9.61865091510069,163.52
4,George Kittle (SF) ,9.1,9.018800980161792,153.32
5,Dalton Schultz (DAL) ,7.7,7.619151131971032,129.53
6,Dawson Knox (BUF) ,7.7,7.619151131971032,129.53
7,Dallas Goedert (PHI) ,7.3,7.219251175345099,122.73
8,Darren Waller (LV) ,7.1,7.019301197032133,119.33
9,Logan Thomas (WAS) ,7.1,7.019301197032133,119.33
10,Hunter Henry (NE) ,7.1,7.019301197032133,119.33
11,T.J. Hockenson (DET) ,7.0,6.919326207875651,117.63
12,Kyle Pitts (ATL) ,6.4,6.319476272936753,107.43
13,Zach Ertz (ARI) ,6.3,6.21950128378027,105.73
14,Pat Freiermuth (PIT) ,5.7,5.619651348841372,95.53
15,Tyler Higbee (LAR) ,5.7,5.619651348841372,95.53
16,Noah Fant (SEA) ,5.7,5.619651348841372,95.53
17,Mike Gesicki (MIA) ,5.4,5.3197263813719236,90.44
18,Jared Cook (FA) ,5.3,5.21975139221544,88.74
19,Maxx Williams (ARI) ,5.1,5.019801413902474,85.34
20,C.J. Uzomah (NYJ) ,5.0,4.919826424745992,83.64
21,David Njoku (CLE) ,4.8,4.719876446433025,80.24
22,Gerald Everett (LAC) ,4.7,4.6199014572765424,78.54
23,Brevin Jordan (HOU) ,4.5,4.4199514789635765,75.14
24,Tyler Conklin (NYJ) ,4.5,4.4199514789635765,75.14
25,Robert Tonyan (GB) ,4.1,4.020051522337645,68.34
26,James O'Shaughnessy (CHI) ,3.8,3.720126554868196,63.24
27,Evan Engram (JAC) ,3.8,3.720126554868196,63.24
28,Dan Arnold (JAC) ,3.7,3.620151565711713,61.54
29,Foster Moreau (LV) ,3.7,3.620151565711713,61.54
30,Cole Kmet (CHI) ,3.6,3.52017657655523,59.84
31,Ricky Seals-Jones (NYG) ,3.6,3.52017657655523,59.84
32,Austin Hooper (TEN) ,3.6,3.52017657655523,59.84
33,Jesper Horsted (LV) ,3.5,3.420201587398747,58.14
34,Jimmy Graham (FA) ,3.3,3.2202516090857807,54.74
35,Mo Alie-Cox (IND) ,3.3,3.2202516090857807,54.74
36,Adam Trautman (NO) ,3.3,3.2202516090857807,54.74
37,Jack Doyle (FA) ,3.3,3.2202516090857807,54.74
38,Hayden Hurst (CIN) ,3.2,3.120276619929298,53.04
39,Albert Okwuegbunam (DEN) ,3.1,3.020301630772815,51.35
40,Juwan Johnson (NO) ,3.1,3.020301630772815,51.35
41,Brock Wright (DET) ,3.0,2.9203266416163323,49.65
42,Cameron Brate (TB) ,3.0,2.9203266416163323,49.65
43,Donald Parham Jr. (LAC) ,2.8,2.720376663303366,46.25
44,Ross Dwelley (SF) ,2.8,2.720376663303366,46.25
45,Nick Vannett (NO) ,2.8,2.720376663303366,46.25
46,Harrison Bryant (CLE) ,2.8,2.720376663303366,46.25
47,Ryan Griffin (CHI) ,2.7,2.6204016741468834,44.55
48,Tyree Jackson (PHI) ,2.7,2.6204016741468834,44.55
49,Antony Auclair (HOU) ,2.7,2.6204016741468834,44.55
50,MyCole Pruitt (FA) ,2.7,2.6204016741468834,44.55
51,Blake Jarwin (FA) ,2.7,2.6204016741468834,44.55
52,Tyler Kroft (SF) ,2.6,2.5204266849904005,42.85
53,Eric Ebron (FA) ,2.6,2.5204266849904005,42.85
54,Josiah Deguara (GB) ,2.6,2.5204266849904005,42.85
55,Anthony Firkser (ATL) ,2.6,2.5204266849904005,42.85
56,Jonnu Smith (NE) ,2.5,2.4204516958339175,41.15
57,John Bates (WAS) ,2.4,2.320476706677434,39.45
58,Jesse James (FA) ,2.4,2.320476706677434,39.45
59,Geoff Swaim (TEN) ,2.4,2.320476706677434,39.45
60,Durham Smythe (MIA) ,2.3,2.220501717520951,37.75
61,Will Dissly (SEA) ,2.2,2.1205267283644686,36.05
62,Tommy Tremble (CAR) ,2.2,2.1205267283644686,36.05
63,Kyle Rudolph (FA) ,2.2,2.1205267283644686,36.05
64,O.J. Howard (BUF) ,1.8,1.7206267717385366,29.25
65,Sean McKeon (DAL) ,1.7,1.6206517825820537,27.55
66,Chris Herndon IV (FA) ,1.7,1.6206517825820537,27.55
67,Zach Gentry (PIT) ,1.7,1.6206517825820537,27.55
68,Marcedes Lewis (GB) ,1.6,1.5206767934255707,25.85
69,Jacob Hollister (LV) ,1.6,1.5206767934255707,25.85
70,Stephen Anderson (ARI) ,1.6,1.5206767934255707,25.85
71,Jordan Akins (NYG) ,1.5,1.4207018042690878,24.15
72,Tommy Sweeney (BUF) ,1.5,1.4207018042690878,24.15
73,Chris Myarick (NYG) ,1.5,1.4207018042690878,24.15
74,Noah Gray (KC) ,1.4,1.3207268151126046,22.45
75,Darren Fells (FA) ,1.4,1.3207268151126046,22.45
76,Lee Smith (FA) ,1.3,1.2207518259561219,20.75
77,Ian Thomas (CAR) ,1.3,1.2207518259561219,20.75
78,Chris Manhertz (JAC) ,1.3,1.2207518259561219,20.75
79,Kenny Yeboah (NYJ) ,1.2,1.1207768367996387,19.05
80,Pharaoh Brown (HOU) ,1.2,1.1207768367996387,19.05
81,Adam Shaheen (MIA) ,1.2,1.1207768367996387,19.05
82,Eric Saubert (DEN) ,1.1,1.020801847643156,17.35
83,Shane Zylstra (DET) ,1.1,1.020801847643156,17.35
84,Parker Hesse (ATL) ,1.1,1.020801847643156,17.35
85,Richard Rodgers (PHI) ,1.1,1.020801847643156,17.35
86,Kylen Granson (IND) ,1.1,1.020801847643156,17.35
87,Daniel Brown (FA) ,1.0,0.9208268584866729,15.65
88,Brycen Hopkins (LAR) ,0.9,0.8208518693301899,13.95
89,Kendall Blanton (LAR) ,0.9,0.8208518693301899,13.95
90,Ethan Wolf (FA) ,0.8,0.720876880173707,12.25
91,Tommy Hudson (TEN) ,0.8,0.720876880173707,12.25
92,Kaden Smith (FA) ,0.8,0.720876880173707,12.25
93,Tre' McKitty (LAC) ,0.8,0.720876880173707,12.25
94,Blake Bell (KC) ,0.8,0.720876880173707,12.25
95,Drew Sample (CIN) ,0.8,0.720876880173707,12.25
96,Garrett Griffin (DET) ,0.8,0.720876880173707,12.25
97,Derek Carrier (FA) ,0.7,0.6209018910172239,10.56
98,Charlie Woerner (SF) ,0.7,0.6209018910172239,10.56
99,Dominique Dafney (GB) ,0.6,0.520926901860741,8.86
100,Colby Parkinson (SEA) ,0.6,0.520926901860741,8.86
101,Josh Oliver (BAL) ,0.6,0.520926901860741,8.86
102,Luke Farrell (JAC) ,0.6,0.520926901860741,8.86
103,Jeremy Sprinkle (DAL) ,0.5,0.4209519127042581,7.16
104,Trevon Wesco (NYJ) ,0.4,0.32097692354777513,5.46
105,Mitchell Wilcox (CIN) ,0.4,0.32097692354777513,5.46
106,Tyler Davis (GB) ,0.4,0.32097692354777513,5.46
107,Jack Stoll (PHI) ,0.4,0.32097692354777513,5.46
108,Hunter Long (MIA) ,0.3,0.22100193439129212,3.76
109,Kevin Rader (PIT) ,0.3,0.22100193439129212,3.76
110,Johnny Mundt (MIN) ,0.3,0.22100193439129212,3.76
111,Luke Stocker (FA) ,0.2,0.1210269452348092,2.06
112,Cethan Carter (MIA) ,0.2,0.1210269452348092,2.06
113,Eric Tomlinson (DEN) ,0.1,0.02105195607832623,0.36
114,Nick Boyle (BAL) ,0.1,0.02105195607832623,0.36
115,Demetrius Harris (FA) ,0.1,0.02105195607832623,0.36
116,Peyton Hendershot (DAL) ,0.0,-0.07892303307815673,-1.34
117,Josh Babicz (CAR) ,0.0,-0.07892303307815673,-1.34
118,Armani Rogers (WAS) ,0.0,-0.07892303307815673,-1.34
119,Andrew Ogletree (IND) ,0.0,-0.07892303307815673,-1.34
120,Connor Heyward (PIT) ,0.0,-0.07892303307815673,-1.34
121,Ko Kieft (TB) ,0.0,-0.07892303307815673,-1.34
122,Seth Green (HOU) ,0.0,-0.07892303307815673,-1.34
123,Stone Smartt (LAC) ,0.0,-0.07892303307815673,-1.34
124,Erik Krommenhoek (LAC) ,0.0,-0.07892303307815673,-1.34
125,Marcus Santos-Silva (CLE) ,0.0,-0.07892303307815673,-1.34
126,Curtis Hodges (WAS) ,0.0,-0.07892303307815673,-1.34
127,Matt Bushman (KC) ,0.0,-0.07892303307815673,-1.34
128,Nick Muse (MIN) ,0.0,-0.07892303307815673,-1.34
129,Trey McBride (ARI) ,0.0,-0.07892303307815673,-1.34
130,Miller Forristall (CLE) ,0.0,-0.07892303307815673,-1.34
131,Lucas Krull (NO) ,0.0,-0.07892303307815673,-1.34
132,Leroy Watson (ATL) ,0.0,-0.07892303307815673,-1.34
133,Daniel Bellinger (NYG) ,0.0,-0.07892303307815673,-1.34
134,Gerrit Prince (JAC) ,0.0,-0.07892303307815673,-1.34
135,Jamal Pettigrew (LAR) ,0.0,-0.07892303307815673,-1.34
136,Dylan Parham (DEN) ,0.0,-0.07892303307815673,-1.34
137,Rodney Williams (DEN) ,0.0,-0.07892303307815673,-1.34
138,Andre Miller (NYG) ,0.0,-0.07892303307815673,-1.34
139,Zaire Mitchell-Paden (CLE) ,0.0,-0.07892303307815673,-1.34
140,Grayson Gunter (JAC) ,0.0,-0.07892303307815673,-1.34
141,Noaln Givan (DET) ,0.0,-0.07892303307815673,-1.34
142,Cole Fotheringham (LV) ,0.0,-0.07892303307815673,-1.34
143,Ben Beise (TB) ,0.0,-0.07892303307815673,-1.34
144,Jared Scott (CAR) ,0.0,-0.07892303307815673,-1.34
145,Tucker Fisk (ATL) ,0.0,-0.07892303307815673,-1.34
146,JJ Howland (TB) ,0.0,-0.07892303307815673,-1.34
147,Naz Bohannon (JAC) ,0.0,-0.07892303307815673,-1.34
148,Pro Wells (CIN) ,0.0,-0.07892303307815673,-1.34
149,Chris Pierce Jr. (ARI) ,0.0,-0.07892303307815673,-1.34
150,Tony Poljan (BAL) ,0.0,-0.07892303307815673,-1.34
151,Quintin Morris (BUF) ,0.0,-0.07892303307815673,-1.34
152,Nick Eubanks (CIN) ,0.0,-0.07892303307815673,-1.34
153,Taysom Hill (NO) ,0.0,-0.07892303307815673,-1.34
154,Beau Brinkley (ATL) ,0.0,-0.07892303307815673,-1.34
155,James Winchester (KC) ,0.0,-0.07892303307815673,-1.34
156,Tyler Ott (SEA) ,0.0,-0.07892303307815673,-1.34
157,Patrick Scales (CHI) ,0.0,-0.07892303307815673,-1.34
158,Andrew DePaola (MIN) ,0.0,-0.07892303307815673,-1.34
159,Jeff Driskel (HOU) ,0.0,-0.07892303307815673,-1.34
160,Colin Thompson (CAR) ,0.0,-0.07892303307815673,-1.34
161,J.P. Holtz (NO) ,0.0,-0.07892303307815673,-1.34
162,Troy Fumagalli (SF) ,0.0,-0.07892303307815673,-1.34
163,David Wells (ARI) ,0.0,-0.07892303307815673,-1.34
164,Mason Schreck (HOU) ,0.0,-0.07892303307815673,-1.34
165,Darrell Daniels (FA) ,0.0,-0.07892303307815673,-1.34
166,Devin Funchess (DET) ,0.0,-0.07892303307815673,-1.34
167,Jake Tonges (CHI) ,0.0,-0.07892303307815673,-1.34
168,Zach Wood (NO) ,0.0,-0.07892303307815673,-1.34
169,Alex Ellis (ARI) ,0.0,-0.07892303307815673,-1.34
170,Paul Quessenberry (HOU) ,0.0,-0.07892303307815673,-1.34
171,Drake Dunsmore (TB) ,0.0,-0.07892303307815673,-1.34
172,Jake Ferguson (DAL) ,0.0,-0.07892303307815673,-1.34
173,Charlie Kolar (BAL) ,0.0,-0.07892303307815673,-1.34
174,Dominique Curry (DET) ,0.0,-0.07892303307815673,-1.34
175,James Dearth (NYJ) ,0.0,-0.07892303307815673,-1.34
176,Marquez Branson (ATL) ,0.0,-0.07892303307815673,-1.34
177,Jordan Matthews (SF) ,0.0,-0.07892303307815673,-1.34
178,Darnell Dinkins (NO) ,0.0,-0.07892303307815673,-1.34
179,Keith Zinger (ATL) ,0.0,-0.07892303307815673,-1.34
180,Derek Fine (HOU) ,0.0,-0.07892303307815673,-1.34
181,J.P. Foschi (CIN) ,0.0,-0.07892303307815673,-1.34
182,Brad Cottam (KC) ,0.0,-0.07892303307815673,-1.34
183,Clark Harris (CIN) ,0.0,-0.07892303307815673,-1.34
184,Justin Snow (IND) ,0.0,-0.07892303307815673,-1.34
185,Joey Haynos (MIA) ,0.0,-0.07892303307815673,-1.34
186,Roger Carter (LAR) ,0.0,-0.07892303307815673,-1.34
187,Ian Bunting (DAL) ,0.0,-0.07892303307815673,-1.34
188,Kehinde Oginni Hassan (KC) ,0.0,-0.07892303307815673,-1.34
189,Cade Brewer (SEA) ,0.0,-0.07892303307815673,-1.34
190,Rysen John (CHI) ,0.0,-0.07892303307815673,-1.34
191,Lawrence Cager (NYJ) ,0.0,-0.07892303307815673,-1.34
192,Tyler Mabry (SEA) ,0.0,-0.07892303307815673,-1.34
193,Giovanni Ricci (CAR) ,0.0,-0.07892303307815673,-1.34
194,Ben Ellefson (MIN) ,0.0,-0.07892303307815673,-1.34
195,Reggie Gilliam (BUF) ,0.0,-0.07892303307815673,-1.34
196,Rashod Berry (JAC) ,0.0,-0.07892303307815673,-1.34
197,Scotty Washington (CIN) ,0.0,-0.07892303307815673,-1.34
198,Eli Wolf (GB) ,0.0,-0.07892303307815673,-1.34
199,Noah Togiai (PHI) ,0.0,-0.07892303307815673,-1.34
200,J.J. Arcega-Whiteside (PHI) ,0.0,-0.07892303307815673,-1.34
201,Chase Allen (CHI) ,0.0,-0.07892303307815673,-1.34
202,Alize Mack (GB) ,0.0,-0.07892303307815673,-1.34
203,Brandon Dillon (NO) ,0.0,-0.07892303307815673,-1.34
204,Dalton Keene (NE) ,0.0,-0.07892303307815673,-1.34
205,Devin Asiasi (NE) ,0.0,-0.07892303307815673,-1.34
206,John Lovett (MIA) ,0.0,-0.07892303307815673,-1.34
207,Matthew Orzech (LAR) ,0.0,-0.07892303307815673,-1.34
208,Nakia Griffin-Stewart (CLE) ,0.0,-0.07892303307815673,-1.34
209,Codey McElroy (TB) ,0.0,-0.07892303307815673,-1.34
210,Deon Yelder (ARI) ,0.0,-0.07892303307815673,-1.34
211,Farrod Green (FA) ,0.0,-0.07892303307815673,-1.34
212,Nick Bowers (LV) ,0.0,-0.07892303307815673,-1.34
213,Jake Bargas (MIN) ,0.0,-0.07892303307815673,-1.34
214,Tanner Hudson (SF) ,0.0,-0.07892303307815673,-1.34
215,Jordan Franks (KC) ,0.0,-0.07892303307815673,-1.34
216,Jody Fortson (KC) ,0.0,-0.07892303307815673,-1.34
217,Andrew Beck (DEN) ,0.0,-0.07892303307815673,-1.34
218,Jared Pinkney (LAR) ,0.0,-0.07892303307815673,-1.34
219,Antonio Gandy-Golden (WAS) ,0.0,-0.07892303307815673,-1.34
220,Jace Sternberger (PIT) ,0.0,-0.07892303307815673,-1.34
221,Irv Smith Jr. (MIN) ,0.0,-0.07892303307815673,-1.34
222,Matt Sokol (NE) ,0.0,-0.07892303307815673,-1.34
223,Thaddeus Moss (CIN) ,0.0,-0.07892303307815673,-1.34
224,Kyle Markway (LAR) ,0.0,-0.07892303307815673,-1.34
225,Stephen Sullivan (CAR) ,0.0,-0.07892303307815673,-1.34
226,Hunter Kampmoyer (LAC) ,0.0,-0.07892303307815673,-1.34
227,James Mitchell (DET) ,0.0,-0.07892303307815673,-1.34
228,Cade Otton (TB) ,0.0,-0.07892303307815673,-1.34
229,Sammis Reyes (WAS) ,0.0,-0.07892303307815673,-1.34
230,Jacob Harris (LAR) ,0.0,-0.07892303307815673,-1.34
231,Briley Moore (TEN) ,0.0,-0.07892303307815673,-1.34
232,Nick Ralston (DAL) ,0.0,-0.07892303307815673,-1.34
233,Zach Davidson (MIN) ,0.0,-0.07892303307815673,-1.34
234,Jalen Wydermyer (BUF) ,0.0,-0.07892303307815673,-1.34
235,John Raine (ATL) ,0.0,-0.07892303307815673,-1.34
236,Bernhard Seikovits (ARI) ,0.0,-0.07892303307815673,-1.34
237,Jake Hausmann (FA) ,0.0,-0.07892303307815673,-1.34
238,John FitzPatrick (ATL) ,0.0,-0.07892303307815673,-1.34
239,Tanner Conner (MIA) ,0.0,-0.07892303307815673,-1.34
240,Justin Rigg (CIN) ,0.0,-0.07892303307815673,-1.34
241,Greg Dulcich (DEN) ,0.0,-0.07892303307815673,-1.34
242,Ben Mason (BAL) ,0.0,-0.07892303307815673,-1.34
243,Charlie Taumoepeau (DET) ,0.0,-0.07892303307815673,-1.34
244,Austin Allen (NYG) ,0.0,-0.07892303307815673,-1.34
245,Isaiah Likely (BAL) ,0.0,-0.07892303307815673,-1.34
246,Michael Jacobson (IND) ,0.0,-0.07892303307815673,-1.34
247,Mark Vital Jr. (KC) ,0.0,-0.07892303307815673,-1.34
248,Brayden Lenius (ATL) ,0.0,-0.07892303307815673,-1.34
249,Cole Turner (WAS) ,0.0,-0.07892303307815673,-1.34
250,Jeremy Ruckert (NYJ) ,0.0,-0.07892303307815673,-1.34
251,Jelani Woods (IND) ,0.0,-0.07892303307815673,-1.34
252,Teagan Quitoriano (HOU) ,0.0,-0.07892303307815673,-1.34
253,Jeremiah Hall (NYG) ,0.0,-0.07892303307815673,-1.34
254,Derrick Deese Jr. (DET) ,0.0,-0.07892303307815673,-1.34
255,Chigoziem Okonkwo (TEN) ,0.0,-0.07892303307815673,-1.34
256,Nikola Kalinic (IND) ,0.0,-0.07892303307815673,-1.34
257,Grant Calcaterra (PHI) ,0.0,-0.07892303307815673,-1.34
258,Noah Grey (KC) ,0.0,-0.07892303307815673,-1.34
259,Daniel Helm (FA) ,-0.0,-0.07892303307815673,-1.34
